2024-12-18 10:55:55,546 - INFO -  Data extraction from sales_data.csv to sales_staging has started .......
2024-12-18 10:55:55,562 - INFO - expected data is :    sales_id  product_id  store_id  quantity  price   sale_date region
8          9         109         3        11   19.0  2024-09-09   High
9         10         110         4         9   17.0  2024-09-10    Low
10        11         101         4        15   14.0  2024-09-11   High
11        12         102         5         9   27.0  2024-09-12    Low
12        13         103         6        10   22.0  2024-09-13   High
13        14         104         7         8   31.0  2024-09-14    Low
14        15         105         4        12   11.0  2024-09-15   High
15        16         106         5         5   23.0  2024-09-16    Low
16        17         107         6         3   26.0  2024-09-17   High
17        18         108         7         6   28.0  2024-09-18    Low
18        19         109         8        11   20.0  2024-09-19   High
19        20         110         9         9   19.5  2024-09-20    Low
20        21         101         1        14   15.5  2024-09-21   High
21        22         102         2         8   22.0  2024-09-22    Low
22        23         103         3         7   18.0  2024-09-23   High
23        24         104         4         6   25.0  2024-09-24    Low
24        25         105         2        12   13.5  2024-09-25   High
25        26         106         3         5   21.0  2024-09-26    Low
26        27         107         1        10   19.0  2024-09-27   High
27        28         108         5         6   27.0  2024-09-28    Low
28        29         109         6         9   24.0  2024-09-29   High
29        30         110         7         7   23.5  2024-09-30    Low
30        31         101         4        13   14.5  2024-10-01   High
31        32         102         5         6   29.0  2024-10-02    Low
32        33         103         6         8   21.0  2024-10-03   High
33        34         104         7         5   30.0  2024-10-04    Low
34        35         105         4         7   15.0  2024-10-05   High
35        36         106         5         3   25.0  2024-10-06    Low
36        37         107         6        12   18.0  2024-10-07   High
37        38         108         7         9   20.0  2024-10-08    Low
38        39         109         8        10   22.0  2024-10-09   High
39        40         110         9         6   26.0  2024-10-10    Low
40        41         101         3         5   15.0  2024-10-11   High
41        42         102         4         4   20.0  2024-10-12    Low
42        43         103         5         9   19.0  2024-10-13   High
43        44         104         6         7   28.0  2024-10-14    Low
44        45         105         7        10   25.0  2024-10-15   High
45        46         106         8         8   22.5  2024-10-16    Low
46        47         107         9         6   24.0  2024-10-17   High
47        48         108         1         3   27.0  2024-10-18    Low
48        49         109         2        11   18.5  2024-10-19   High
49        50         110         3        12   21.0  2024-10-20    Low
50        51         101         1        10   15.0  2024-08-01   High
51        52         101         1         5   25.0  2024-08-01    Low
52        53         101         2         7   20.0  2023-09-02   High
53        54         101         2         3   30.0  2023-09-03    Low
54        55         105         1        12   12.0  2024-09-05   High
55        56         106         3         8   18.0  2024-09-06    Low
56        57         107         1         4   22.0  2024-09-07   High
57        58         108         2         6   24.0  2024-09-08    Low
58        59         109         3        11   19.0  2024-09-09   High
59        60         110         4         9   17.0  2024-09-10    Low
2024-12-18 11:45:12,843 - INFO -  Data extraction from sales_data.csv to sales_staging has completed .......
2024-12-18 11:45:12,844 - INFO - Database connection is closed successfully
2024-12-18 11:47:48,548 - INFO - Database connection is succesfully established
2024-12-18 11:47:48,549 - INFO -  Data extraction from sales_data.csv to sales_staging has started .......
2024-12-18 11:47:48,565 - INFO - expected data is :    sales_id  product_id  store_id  quantity  price   sale_date region
0          1         101         1        10   15.0  2024-09-01   High
1          2         102         1         5   25.0  2024-09-01    Low
2          3         103         2         7   20.0  2024-09-02   High
3          4         104         2         3   30.0  2024-09-03    Low
4          5         105         1        12   12.0  2024-09-05   High
5          6         106         3         8   18.0  2024-09-06    Low
6          7         107         1         4   22.0  2024-09-07   High
7          8         108         2         6   24.0  2024-09-08    Low
8          9         109         3        11   19.0  2024-09-09   High
9         10         110         4         9   17.0  2024-09-10    Low
10        11         101         4        15   14.0  2024-09-11   High
11        12         102         5         9   27.0  2024-09-12    Low
12        13         103         6        10   22.0  2024-09-13   High
13        14         104         7         8   31.0  2024-09-14    Low
14        15         105         4        12   11.0  2024-09-15   High
15        16         106         5         5   23.0  2024-09-16    Low
16        17         107         6         3   26.0  2024-09-17   High
17        18         108         7         6   28.0  2024-09-18    Low
18        19         109         8        11   20.0  2024-09-19   High
19        20         110         9         9   19.5  2024-09-20    Low
20        21         101         1        14   15.5  2024-09-21   High
21        22         102         2         8   22.0  2024-09-22    Low
22        23         103         3         7   18.0  2024-09-23   High
23        24         104         4         6   25.0  2024-09-24    Low
24        25         105         2        12   13.5  2024-09-25   High
25        26         106         3         5   21.0  2024-09-26    Low
26        27         107         1        10   19.0  2024-09-27   High
27        28         108         5         6   27.0  2024-09-28    Low
28        29         109         6         9   24.0  2024-09-29   High
29        30         110         7         7   23.5  2024-09-30    Low
30        31         101         4        13   14.5  2024-10-01   High
31        32         102         5         6   29.0  2024-10-02    Low
32        33         103         6         8   21.0  2024-10-03   High
33        34         104         7         5   30.0  2024-10-04    Low
34        35         105         4         7   15.0  2024-10-05   High
35        36         106         5         3   25.0  2024-10-06    Low
36        37         107         6        12   18.0  2024-10-07   High
37        38         108         7         9   20.0  2024-10-08    Low
38        39         109         8        10   22.0  2024-10-09   High
39        40         110         9         6   26.0  2024-10-10    Low
40        41         101         3         5   15.0  2024-10-11   High
41        42         102         4         4   20.0  2024-10-12    Low
42        43         103         5         9   19.0  2024-10-13   High
43        44         104         6         7   28.0  2024-10-14    Low
44        45         105         7        10   25.0  2024-10-15   High
45        46         106         8         8   22.5  2024-10-16    Low
46        47         107         9         6   24.0  2024-10-17   High
47        48         108         1         3   27.0  2024-10-18    Low
48        49         109         2        11   18.5  2024-10-19   High
49        50         110         3        12   21.0  2024-10-20    Low
50        51         101         1        10   15.0  2024-08-01   High
51        52         101         1         5   25.0  2024-08-01    Low
52        53         101         2         7   20.0  2023-09-02   High
53        54         101         2         3   30.0  2023-09-03    Low
54        55         105         1        12   12.0  2024-09-05   High
55        56         106         3         8   18.0  2024-09-06    Low
56        57         107         1         4   22.0  2024-09-07   High
57        58         108         2         6   24.0  2024-09-08    Low
58        59         109         3        11   19.0  2024-09-09   High
59        60         110         4         9   17.0  2024-09-10    Low
2024-12-18 11:47:50,247 - INFO - actual data is :    sales_id  product_id  store_id  quantity  price   sale_date region
0          1         101         1        10   15.0  2024-09-01   High
1          2         102         1         5   25.0  2024-09-01    Low
2          3         103         2         7   20.0  2024-09-02   High
3          4         104         2         3   30.0  2024-09-03    Low
4          5         105         1        12   12.0  2024-09-05   High
5          6         106         3         8   18.0  2024-09-06    Low
6          7         107         1         4   22.0  2024-09-07   High
7          8         108         2         6   24.0  2024-09-08    Low
8          9         109         3        11   19.0  2024-09-09   High
9         10         110         4         9   17.0  2024-09-10    Low
10        11         101         4        15   14.0  2024-09-11   High
11        12         102         5         9   27.0  2024-09-12    Low
12        13         103         6        10   22.0  2024-09-13   High
13        14         104         7         8   31.0  2024-09-14    Low
14        15         105         4        12   11.0  2024-09-15   High
15        16         106         5         5   23.0  2024-09-16    Low
16        17         107         6         3   26.0  2024-09-17   High
17        18         108         7         6   28.0  2024-09-18    Low
18        19         109         8        11   20.0  2024-09-19   High
19        20         110         9         9   19.5  2024-09-20    Low
20        21         101         1        14   15.5  2024-09-21   High
21        22         102         2         8   22.0  2024-09-22    Low
22        23         103         3         7   18.0  2024-09-23   High
23        24         104         4         6   25.0  2024-09-24    Low
24        25         105         2        12   13.5  2024-09-25   High
25        26         106         3         5   21.0  2024-09-26    Low
26        27         107         1        10   19.0  2024-09-27   High
27        28         108         5         6   27.0  2024-09-28    Low
28        29         109         6         9   24.0  2024-09-29   High
29        30         110         7         7   23.5  2024-09-30    Low
30        31         101         4        13   14.5  2024-10-01   High
31        32         102         5         6   29.0  2024-10-02    Low
32        33         103         6         8   21.0  2024-10-03   High
33        34         104         7         5   30.0  2024-10-04    Low
34        35         105         4         7   15.0  2024-10-05   High
35        36         106         5         3   25.0  2024-10-06    Low
36        37         107         6        12   18.0  2024-10-07   High
37        38         108         7         9   20.0  2024-10-08    Low
38        39         109         8        10   22.0  2024-10-09   High
39        40         110         9         6   26.0  2024-10-10    Low
40        41         101         3         5   15.0  2024-10-11   High
41        42         102         4         4   20.0  2024-10-12    Low
42        43         103         5         9   19.0  2024-10-13   High
43        44         104         6         7   28.0  2024-10-14    Low
44        45         105         7        10   25.0  2024-10-15   High
45        46         106         8         8   22.5  2024-10-16    Low
46        47         107         9         6   24.0  2024-10-17   High
47        48         108         1         3   27.0  2024-10-18    Low
48        49         109         2        11   18.5  2024-10-19   High
49        50         110         3        12   21.0  2024-10-20    Low
50        51         101         1        10   15.0  2024-08-01   High
51        52         101         1         5   25.0  2024-08-01    Low
52        53         101         2         7   20.0  2023-09-02   High
53        54         101         2         3   30.0  2023-09-03    Low
54        55         105         1        12   12.0  2024-09-05   High
55        56         106         3         8   18.0  2024-09-06    Low
56        57         107         1         4   22.0  2024-09-07   High
57        58         108         2         6   24.0  2024-09-08    Low
58        59         109         3        11   19.0  2024-09-09   High
59        60         110         4         9   17.0  2024-09-10    Low
2024-12-18 11:47:50,248 - INFO -  Data extraction from sales_data.csv to sales_staging has completed .......
2024-12-18 11:47:50,249 - INFO - Database connection is closed successfully
2024-12-18 11:48:57,187 - INFO - Database connection is succesfully established
2024-12-18 11:48:57,187 - INFO -  Data extraction from sales_data.csv to sales_staging has started .......
2024-12-18 11:48:57,203 - INFO - expected data is :    sales_id  product_id  store_id  quantity  price   sale_date region
0          1         101         1        10   15.0  2024-09-01   High
1          2         102         1         5   25.0  2024-09-01    Low
2          3         103         2         7   20.0  2024-09-02   High
3          4         104         2         3   30.0  2024-09-03    Low
4          5         105         1        12   12.0  2024-09-05   High
5          6         106         3         8   18.0  2024-09-06    Low
6          7         107         1         4   22.0  2024-09-07   High
7          8         108         2         6   24.0  2024-09-08    Low
8          9         109         3        11   19.0  2024-09-09   High
9         10         110         4         9   17.0  2024-09-10    Low
10        11         101         4        15   14.0  2024-09-11   High
11        12         102         5         9   27.0  2024-09-12    Low
12        13         103         6        10   22.0  2024-09-13   High
13        14         104         7         8   31.0  2024-09-14    Low
14        15         105         4        12   11.0  2024-09-15   High
15        16         106         5         5   23.0  2024-09-16    Low
16        17         107         6         3   26.0  2024-09-17   High
17        18         108         7         6   28.0  2024-09-18    Low
18        19         109         8        11   20.0  2024-09-19   High
19        20         110         9         9   19.5  2024-09-20    Low
20        21         101         1        14   15.5  2024-09-21   High
21        22         102         2         8   22.0  2024-09-22    Low
22        23         103         3         7   18.0  2024-09-23   High
23        24         104         4         6   25.0  2024-09-24    Low
24        25         105         2        12   13.5  2024-09-25   High
25        26         106         3         5   21.0  2024-09-26    Low
26        27         107         1        10   19.0  2024-09-27   High
27        28         108         5         6   27.0  2024-09-28    Low
28        29         109         6         9   24.0  2024-09-29   High
29        30         110         7         7   23.5  2024-09-30    Low
30        31         101         4        13   14.5  2024-10-01   High
31        32         102         5         6   29.0  2024-10-02    Low
32        33         103         6         8   21.0  2024-10-03   High
33        34         104         7         5   30.0  2024-10-04    Low
34        35         105         4         7   15.0  2024-10-05   High
35        36         106         5         3   25.0  2024-10-06    Low
36        37         107         6        12   18.0  2024-10-07   High
37        38         108         7         9   20.0  2024-10-08    Low
38        39         109         8        10   22.0  2024-10-09   High
39        40         110         9         6   26.0  2024-10-10    Low
40        41         101         3         5   15.0  2024-10-11   High
41        42         102         4         4   20.0  2024-10-12    Low
42        43         103         5         9   19.0  2024-10-13   High
43        44         104         6         7   28.0  2024-10-14    Low
44        45         105         7        10   25.0  2024-10-15   High
45        46         106         8         8   22.5  2024-10-16    Low
46        47         107         9         6   24.0  2024-10-17   High
47        48         108         1         3   27.0  2024-10-18    Low
48        49         109         2        11   18.5  2024-10-19   High
49        50         110         3        12   21.0  2024-10-20    Low
50        51         101         1        10   15.0  2024-08-01   High
51        52         101         1         5   25.0  2024-08-01    Low
52        53         101         2         7   20.0  2023-09-02   High
53        54         101         2         3   30.0  2023-09-03    Low
54        55         105         1        12   12.0  2024-09-05   High
55        56         106         3         8   18.0  2024-09-06    Low
56        57         107         1         4   22.0  2024-09-07   High
57        58         108         2         6   24.0  2024-09-08    Low
58        59         109         3        11   19.0  2024-09-09   High
59        60         110         4         9   17.0  2024-09-10    Low
2024-12-18 11:48:57,250 - INFO - actual data is :    sales_id  product_id  store_id  quantity  price   sale_date region
0          1         101         1        10   15.0  2024-09-01   High
1          2         102         1         5   25.0  2024-09-01    Low
2          3         103         2         7   20.0  2024-09-02   High
3          4         104         2         3   30.0  2024-09-03    Low
4          5         105         1        12   12.0  2024-09-05   High
5          6         106         3         8   18.0  2024-09-06    Low
6          7         107         1         4   22.0  2024-09-07   High
7          8         108         2         6   24.0  2024-09-08    Low
8          9         109         3        11   19.0  2024-09-09   High
9         10         110         4         9   17.0  2024-09-10    Low
10        11         101         4        15   14.0  2024-09-11   High
11        12         102         5         9   27.0  2024-09-12    Low
12        13         103         6        10   22.0  2024-09-13   High
13        14         104         7         8   31.0  2024-09-14    Low
14        15         105         4        12   11.0  2024-09-15   High
15        16         106         5         5   23.0  2024-09-16    Low
16        17         107         6         3   26.0  2024-09-17   High
17        18         108         7         6   28.0  2024-09-18    Low
18        19         109         8        11   20.0  2024-09-19   High
19        20         110         9         9   19.5  2024-09-20    Low
20        21         101         1        14   15.5  2024-09-21   High
21        22         102         2         8   22.0  2024-09-22    Low
22        23         103         3         7   18.0  2024-09-23   High
23        24         104         4         6   25.0  2024-09-24    Low
24        25         105         2        12   13.5  2024-09-25   High
25        26         106         3         5   21.0  2024-09-26    Low
26        27         107         1        10   19.0  2024-09-27   High
27        28         108         5         6   27.0  2024-09-28    Low
28        29         109         6         9   24.0  2024-09-29   High
29        30         110         7         7   23.5  2024-09-30    Low
30        31         101         4        13   14.5  2024-10-01   High
31        32         102         5         6   29.0  2024-10-02    Low
32        33         103         6         8   21.0  2024-10-03   High
33        34         104         7         5   30.0  2024-10-04    Low
34        35         105         4         7   15.0  2024-10-05   High
35        36         106         5         3   25.0  2024-10-06    Low
36        37         107         6        12   18.0  2024-10-07   High
37        38         108         7         9   20.0  2024-10-08    Low
38        39         109         8        10   22.0  2024-10-09   High
39        40         110         9         6   26.0  2024-10-10    Low
40        41         101         3         5   15.0  2024-10-11   High
41        42         102         4         4   20.0  2024-10-12    Low
42        43         103         5         9   19.0  2024-10-13   High
43        44         104         6         7   28.0  2024-10-14    Low
44        45         105         7        10   25.0  2024-10-15   High
45        46         106         8         8   22.5  2024-10-16    Low
46        47         107         9         6   24.0  2024-10-17   High
47        48         108         1         3   27.0  2024-10-18    Low
48        49         109         2        11   18.5  2024-10-19   High
49        50         110         3        12   21.0  2024-10-20    Low
50        51         101         1        10   15.0  2024-08-01   High
51        52         101         1         5   25.0  2024-08-01    Low
52        53         101         2         7   20.0  2023-09-02   High
53        54         101         2         3   30.0  2023-09-03    Low
54        55         105         1        12   12.0  2024-09-05   High
55        56         106         3         8   18.0  2024-09-06    Low
56        57         107         1         4   22.0  2024-09-07   High
57        58         108         2         6   24.0  2024-09-08    Low
58        59         109         3        11   19.0  2024-09-09   High
59        60         110         4         9   17.0  2024-09-10    Low
2024-12-18 11:48:57,250 - INFO -  Data extraction from sales_data.csv to sales_staging has completed .......
2024-12-18 11:48:57,252 - INFO - Database connection is closed successfully
2024-12-18 11:54:13,755 - INFO - Database connection is succesfully established
2024-12-18 11:54:13,761 - INFO - Database connection is closed successfully
2024-12-18 11:54:44,348 - INFO - Database connection is succesfully established
2024-12-18 11:54:44,356 - INFO - Database connection is closed successfully
2024-12-18 11:56:22,140 - INFO - Database connection is succesfully established
2024-12-18 11:56:22,146 - INFO - Database connection is closed successfully
2024-12-18 11:57:38,159 - INFO - Database connection is succesfully established
2024-12-18 11:57:38,160 - INFO -  Data extraction from sales_data.csv to sales_staging has started .......
2024-12-18 11:57:38,317 - INFO - expected data is :    sales_id  product_id  store_id  quantity  price   sale_date region
0          1         101         1        10   15.0  2024-09-01   High
1          2         102         1         5   25.0  2024-09-01    Low
2          3         103         2         7   20.0  2024-09-02   High
3          4         104         2         3   30.0  2024-09-03    Low
4          5         105         1        12   12.0  2024-09-05   High
5          6         106         3         8   18.0  2024-09-06    Low
6          7         107         1         4   22.0  2024-09-07   High
7          8         108         2         6   24.0  2024-09-08    Low
8          9         109         3        11   19.0  2024-09-09   High
9         10         110         4         9   17.0  2024-09-10    Low
10        11         101         4        15   14.0  2024-09-11   High
11        12         102         5         9   27.0  2024-09-12    Low
12        13         103         6        10   22.0  2024-09-13   High
13        14         104         7         8   31.0  2024-09-14    Low
14        15         105         4        12   11.0  2024-09-15   High
15        16         106         5         5   23.0  2024-09-16    Low
16        17         107         6         3   26.0  2024-09-17   High
17        18         108         7         6   28.0  2024-09-18    Low
18        19         109         8        11   20.0  2024-09-19   High
19        20         110         9         9   19.5  2024-09-20    Low
20        21         101         1        14   15.5  2024-09-21   High
21        22         102         2         8   22.0  2024-09-22    Low
22        23         103         3         7   18.0  2024-09-23   High
23        24         104         4         6   25.0  2024-09-24    Low
24        25         105         2        12   13.5  2024-09-25   High
25        26         106         3         5   21.0  2024-09-26    Low
26        27         107         1        10   19.0  2024-09-27   High
27        28         108         5         6   27.0  2024-09-28    Low
28        29         109         6         9   24.0  2024-09-29   High
29        30         110         7         7   23.5  2024-09-30    Low
30        31         101         4        13   14.5  2024-10-01   High
31        32         102         5         6   29.0  2024-10-02    Low
32        33         103         6         8   21.0  2024-10-03   High
33        34         104         7         5   30.0  2024-10-04    Low
34        35         105         4         7   15.0  2024-10-05   High
35        36         106         5         3   25.0  2024-10-06    Low
36        37         107         6        12   18.0  2024-10-07   High
37        38         108         7         9   20.0  2024-10-08    Low
38        39         109         8        10   22.0  2024-10-09   High
39        40         110         9         6   26.0  2024-10-10    Low
40        41         101         3         5   15.0  2024-10-11   High
41        42         102         4         4   20.0  2024-10-12    Low
42        43         103         5         9   19.0  2024-10-13   High
43        44         104         6         7   28.0  2024-10-14    Low
44        45         105         7        10   25.0  2024-10-15   High
45        46         106         8         8   22.5  2024-10-16    Low
46        47         107         9         6   24.0  2024-10-17   High
47        48         108         1         3   27.0  2024-10-18    Low
48        49         109         2        11   18.5  2024-10-19   High
49        50         110         3        12   21.0  2024-10-20    Low
50        51         101         1        10   15.0  2024-08-01   High
51        52         101         1         5   25.0  2024-08-01    Low
52        53         101         2         7   20.0  2023-09-02   High
53        54         101         2         3   30.0  2023-09-03    Low
54        55         105         1        12   12.0  2024-09-05   High
55        56         106         3         8   18.0  2024-09-06    Low
56        57         107         1         4   22.0  2024-09-07   High
57        58         108         2         6   24.0  2024-09-08    Low
58        59         109         3        11   19.0  2024-09-09   High
59        60         110         4         9   17.0  2024-09-10    Low
2024-12-18 11:57:38,360 - INFO - actual data is :    sales_id  product_id  store_id  quantity  price   sale_date region
0          1         101         1        10   15.0  2024-09-01   High
1          2         102         1         5   25.0  2024-09-01    Low
2          3         103         2         7   20.0  2024-09-02   High
3          4         104         2         3   30.0  2024-09-03    Low
4          5         105         1        12   12.0  2024-09-05   High
5          6         106         3         8   18.0  2024-09-06    Low
6          7         107         1         4   22.0  2024-09-07   High
7          8         108         2         6   24.0  2024-09-08    Low
8          9         109         3        11   19.0  2024-09-09   High
9         10         110         4         9   17.0  2024-09-10    Low
10        11         101         4        15   14.0  2024-09-11   High
11        12         102         5         9   27.0  2024-09-12    Low
12        13         103         6        10   22.0  2024-09-13   High
13        14         104         7         8   31.0  2024-09-14    Low
14        15         105         4        12   11.0  2024-09-15   High
15        16         106         5         5   23.0  2024-09-16    Low
16        17         107         6         3   26.0  2024-09-17   High
17        18         108         7         6   28.0  2024-09-18    Low
18        19         109         8        11   20.0  2024-09-19   High
19        20         110         9         9   19.5  2024-09-20    Low
20        21         101         1        14   15.5  2024-09-21   High
21        22         102         2         8   22.0  2024-09-22    Low
22        23         103         3         7   18.0  2024-09-23   High
23        24         104         4         6   25.0  2024-09-24    Low
24        25         105         2        12   13.5  2024-09-25   High
25        26         106         3         5   21.0  2024-09-26    Low
26        27         107         1        10   19.0  2024-09-27   High
27        28         108         5         6   27.0  2024-09-28    Low
28        29         109         6         9   24.0  2024-09-29   High
29        30         110         7         7   23.5  2024-09-30    Low
30        31         101         4        13   14.5  2024-10-01   High
31        32         102         5         6   29.0  2024-10-02    Low
32        33         103         6         8   21.0  2024-10-03   High
33        34         104         7         5   30.0  2024-10-04    Low
34        35         105         4         7   15.0  2024-10-05   High
35        36         106         5         3   25.0  2024-10-06    Low
36        37         107         6        12   18.0  2024-10-07   High
37        38         108         7         9   20.0  2024-10-08    Low
38        39         109         8        10   22.0  2024-10-09   High
39        40         110         9         6   26.0  2024-10-10    Low
40        41         101         3         5   15.0  2024-10-11   High
41        42         102         4         4   20.0  2024-10-12    Low
42        43         103         5         9   19.0  2024-10-13   High
43        44         104         6         7   28.0  2024-10-14    Low
44        45         105         7        10   25.0  2024-10-15   High
45        46         106         8         8   22.5  2024-10-16    Low
46        47         107         9         6   24.0  2024-10-17   High
47        48         108         1         3   27.0  2024-10-18    Low
48        49         109         2        11   18.5  2024-10-19   High
49        50         110         3        12   21.0  2024-10-20    Low
50        51         101         1        10   15.0  2024-08-01   High
51        52         101         1         5   25.0  2024-08-01    Low
52        53         101         2         7   20.0  2023-09-02   High
53        54         101         2         3   30.0  2023-09-03    Low
54        55         105         1        12   12.0  2024-09-05   High
55        56         106         3         8   18.0  2024-09-06    Low
56        57         107         1         4   22.0  2024-09-07   High
57        58         108         2         6   24.0  2024-09-08    Low
58        59         109         3        11   19.0  2024-09-09   High
59        60         110         4         9   17.0  2024-09-10    Low
2024-12-18 11:57:38,361 - INFO -  Data extraction from sales_data.csv to sales_staging has completed .......
2024-12-18 11:57:38,363 - INFO - Database connection is closed successfully
2024-12-18 11:59:02,806 - INFO - Database connection is succesfully established
2024-12-18 11:59:02,807 - INFO -  Data extraction from sales_data.csv to sales_staging has started .......
2024-12-18 11:59:02,846 - INFO - expected data is :    sales_id  product_id  store_id  quantity  price   sale_date region
0          1         101         1        10   15.0  2024-09-01   High
1          2         102         1         5   25.0  2024-09-01    Low
2          3         103         2         7   20.0  2024-09-02   High
3          4         104         2         3   30.0  2024-09-03    Low
4          5         105         1        12   12.0  2024-09-05   High
5          6         106         3         8   18.0  2024-09-06    Low
6          7         107         1         4   22.0  2024-09-07   High
7          8         108         2         6   24.0  2024-09-08    Low
8          9         109         3        11   19.0  2024-09-09   High
9         10         110         4         9   17.0  2024-09-10    Low
10        11         101         4        15   14.0  2024-09-11   High
11        12         102         5         9   27.0  2024-09-12    Low
12        13         103         6        10   22.0  2024-09-13   High
13        14         104         7         8   31.0  2024-09-14    Low
14        15         105         4        12   11.0  2024-09-15   High
15        16         106         5         5   23.0  2024-09-16    Low
16        17         107         6         3   26.0  2024-09-17   High
17        18         108         7         6   28.0  2024-09-18    Low
18        19         109         8        11   20.0  2024-09-19   High
19        20         110         9         9   19.5  2024-09-20    Low
20        21         101         1        14   15.5  2024-09-21   High
21        22         102         2         8   22.0  2024-09-22    Low
22        23         103         3         7   18.0  2024-09-23   High
23        24         104         4         6   25.0  2024-09-24    Low
24        25         105         2        12   13.5  2024-09-25   High
25        26         106         3         5   21.0  2024-09-26    Low
26        27         107         1        10   19.0  2024-09-27   High
27        28         108         5         6   27.0  2024-09-28    Low
28        29         109         6         9   24.0  2024-09-29   High
29        30         110         7         7   23.5  2024-09-30    Low
30        31         101         4        13   14.5  2024-10-01   High
31        32         102         5         6   29.0  2024-10-02    Low
32        33         103         6         8   21.0  2024-10-03   High
33        34         104         7         5   30.0  2024-10-04    Low
34        35         105         4         7   15.0  2024-10-05   High
35        36         106         5         3   25.0  2024-10-06    Low
36        37         107         6        12   18.0  2024-10-07   High
37        38         108         7         9   20.0  2024-10-08    Low
38        39         109         8        10   22.0  2024-10-09   High
39        40         110         9         6   26.0  2024-10-10    Low
40        41         101         3         5   15.0  2024-10-11   High
41        42         102         4         4   20.0  2024-10-12    Low
42        43         103         5         9   19.0  2024-10-13   High
43        44         104         6         7   28.0  2024-10-14    Low
44        45         105         7        10   25.0  2024-10-15   High
45        46         106         8         8   22.5  2024-10-16    Low
46        47         107         9         6   24.0  2024-10-17   High
47        48         108         1         3   27.0  2024-10-18    Low
48        49         109         2        11   18.5  2024-10-19   High
49        50         110         3        12   21.0  2024-10-20    Low
50        51         101         1        10   15.0  2024-08-01   High
51        52         101         1         5   25.0  2024-08-01    Low
52        53         101         2         7   20.0  2023-09-02   High
53        54         101         2         3   30.0  2023-09-03    Low
54        55         105         1        12   12.0  2024-09-05   High
55        56         106         3         8   18.0  2024-09-06    Low
56        57         107         1         4   22.0  2024-09-07   High
57        58         108         2         6   24.0  2024-09-08    Low
58        59         109         3        11   19.0  2024-09-09   High
59        60         110         4         9   17.0  2024-09-10    Low
2024-12-18 11:59:02,893 - INFO - actual data is :    sales_id  product_id  store_id  quantity  price   sale_date region
0          1         101         1        10   15.0  2024-09-01   High
1          2         102         1         5   25.0  2024-09-01    Low
2          3         103         2         7   20.0  2024-09-02   High
3          4         104         2         3   30.0  2024-09-03    Low
4          5         105         1        12   12.0  2024-09-05   High
5          6         106         3         8   18.0  2024-09-06    Low
6          7         107         1         4   22.0  2024-09-07   High
7          8         108         2         6   24.0  2024-09-08    Low
8          9         109         3        11   19.0  2024-09-09   High
9         10         110         4         9   17.0  2024-09-10    Low
10        11         101         4        15   14.0  2024-09-11   High
11        12         102         5         9   27.0  2024-09-12    Low
12        13         103         6        10   22.0  2024-09-13   High
13        14         104         7         8   31.0  2024-09-14    Low
14        15         105         4        12   11.0  2024-09-15   High
15        16         106         5         5   23.0  2024-09-16    Low
16        17         107         6         3   26.0  2024-09-17   High
17        18         108         7         6   28.0  2024-09-18    Low
18        19         109         8        11   20.0  2024-09-19   High
19        20         110         9         9   19.5  2024-09-20    Low
20        21         101         1        14   15.5  2024-09-21   High
21        22         102         2         8   22.0  2024-09-22    Low
22        23         103         3         7   18.0  2024-09-23   High
23        24         104         4         6   25.0  2024-09-24    Low
24        25         105         2        12   13.5  2024-09-25   High
25        26         106         3         5   21.0  2024-09-26    Low
26        27         107         1        10   19.0  2024-09-27   High
27        28         108         5         6   27.0  2024-09-28    Low
28        29         109         6         9   24.0  2024-09-29   High
29        30         110         7         7   23.5  2024-09-30    Low
30        31         101         4        13   14.5  2024-10-01   High
31        32         102         5         6   29.0  2024-10-02    Low
32        33         103         6         8   21.0  2024-10-03   High
33        34         104         7         5   30.0  2024-10-04    Low
34        35         105         4         7   15.0  2024-10-05   High
35        36         106         5         3   25.0  2024-10-06    Low
36        37         107         6        12   18.0  2024-10-07   High
37        38         108         7         9   20.0  2024-10-08    Low
38        39         109         8        10   22.0  2024-10-09   High
39        40         110         9         6   26.0  2024-10-10    Low
40        41         101         3         5   15.0  2024-10-11   High
41        42         102         4         4   20.0  2024-10-12    Low
42        43         103         5         9   19.0  2024-10-13   High
43        44         104         6         7   28.0  2024-10-14    Low
44        45         105         7        10   25.0  2024-10-15   High
45        46         106         8         8   22.5  2024-10-16    Low
46        47         107         9         6   24.0  2024-10-17   High
47        48         108         1         3   27.0  2024-10-18    Low
48        49         109         2        11   18.5  2024-10-19   High
49        50         110         3        12   21.0  2024-10-20    Low
50        51         101         1        10   15.0  2024-08-01   High
51        52         101         1         5   25.0  2024-08-01    Low
52        53         101         2         7   20.0  2023-09-02   High
53        54         101         2         3   30.0  2023-09-03    Low
54        55         105         1        12   12.0  2024-09-05   High
55        56         106         3         8   18.0  2024-09-06    Low
56        57         107         1         4   22.0  2024-09-07   High
57        58         108         2         6   24.0  2024-09-08    Low
58        59         109         3        11   19.0  2024-09-09   High
59        60         110         4         9   17.0  2024-09-10    Low
2024-12-18 11:59:02,896 - INFO -  Data extraction from sales_data.csv to sales_staging has completed .......
2024-12-18 11:59:02,898 - INFO - Database connection is closed successfully
